Date,Station,SO2,NO2,CO,PM2.5,PM10,AQI Index,AQI Value,Prominent Pollutant
01-Jan,Kodungaiyur,17,14,-,33,137,Moderate,124,PM10
01-Jan,Koyambedu,15,25,-,82,149,Moderate,175,PM2.5
01-Jan,Perungudi,3,8,0.5,87,143,Moderate,190,PM2.5
01-Jan,Royapuram,3,17,0.7,76,100,Moderate,153,PM2.5
01-Jan,Manali,,,,,N/A (PC Issue),,,
02-Jan,Kodungaiyur,16,12,-,22,96,Satisfactory,96,PM10
02-Jan,Koyambedu,7,22,-,58,116,Moderate,111,PM10
02-Jan,Perungudi,3,8,0.5,62,105,Moderate,106,PM2.5
02-Jan,Royapuram,2,15,0.5,49,71,Moderate,82,PM2.5
02-Jan,Manali,12,7,0.7,50,87,Satisfactory,87,PM10
03-Jan,Kodungaiyur,17,14,-,27,118,Moderate,112,PM10
03-Jan,Koyambedu,6,27,-,58,102,Moderate,102,PM10
03-Jan,Perungudi,3,12,0.5,69,126,Moderate,129,PM2.5
03-Jan,Royapuram,3,17,0.6,62,95,Moderate,106,PM2.5
03-Jan,Manali,10,5,0.7,51,61,Satisfactory,85,PM2.5
04-Jan,Kodungaiyur,16,13,-,22,93,Satisfactory,93,PM10
04-Jan,Koyambedu,8,25,-,58,113,Moderate,108,PM10
04-Jan,Perungudi,3,8,-,55,98,Satisfactory,98,PM10
04-Jan,Royapuram,3,16,0.6,45,66,Satisfactory,74,PM2.5
04-Jan,Manali,8,5,0.8,48,70,Satisfactory,80,PM2.5
05-Jan,Kodungaiyur,18,16,0.8,20,77,Satisfactory,77,PM10
05-Jan,Koyambedu,7,31,-,53,81,Satisfactory,89,PM2.5
05-Jan,Perungudi,2,9,0.6,61,81,Moderate,102,PM2.5
05-Jan,Royapuram,4,23,0.6,48,76,Satisfactory,80,PM2.5
05-Jan,Manali,13,7,0.8,52,72,Satisfactory,87,PM2.5
06-Jan,Kodungaiyur,44,14,0.6,13,58,,58,PM10
06-Jan,Koyambedu,9,19,-,30,67,Satisfactory,67,PM10
06-Jan,Perungudi,3,9,0.4,28,48,Good,48,PM10
06-Jan,Royapuram,3,12,0.4,21,46,Good,46,PM10
06-Jan,Manali,12,4,0.7,57,68,,68,PM10
07-Jan,Kodungaiyur,14,15,0.6,13,47,,47,PM10
07-Jan,Koyambedu,6,23,-,31,70,Satisfactory,70,PM10
07-Jan,Perungudi,3,9,0.5,18,39,Good,39,PM10
07-Jan,Royapuram,2,17,0.5,19,41,Good,41,PM10
07-Jan,Manali,10,7,0.7,45,70,,75,PM2.5
08-Jan,Kodungaiyur,19,17,0.6,8,32,Good,32,PM10
08-Jan,Koyambedu,4,19,-,28,57,Satisfactory,57,PM10
08-Jan,Perungudi,2,8,0.4,16,31,Good,31,PM10
08-Jan,Royapuram,2,14,0.5,14,25,Good,25,PM10
08-Jan,Manali,9,5,0.7,42,68,Satisfactory,68,PM10
09-Jan,Kodungaiyur,13,9,0.6,18,66,Satisfactory,66,PM10
09-Jan,Koyambedu,4,16,-,42,78,Satisfactory,78,PM10
09-Jan,Perungudi,3,9,0.4,45,78,Satisfactory,78,PM10
09-Jan,Royapuram,3,13,0.5,38,57,Satisfactory,63,PM2.5
09-Jan,Manali,14,9,0.7,46,59,Satisfactory,59,PM10
10-Jan,Kodungaiyur,14,9,0.6,17,70,Satisfactory,70,PM10
10-Jan,Koyambedu,4,15,-,46,91,Satisfactory,91,PM10
10-Jan,Perungudi,2,8,0.4,42,80,Satisfactory,80,PM10
10-Jan,Royapuram,2,15,0.5,36,64,Satisfactory,64,PM10
10-Jan,Manali,12,7,0.8,52,55,Satisfactory,87,PM2.5
11-Jan,Kodungaiyur,41,12,0.5,20,93,,93,PM10
11-Jan,Koyambedu,6,21,0.6,46,92,,92,PM10
11-Jan,Perungudi,3,8,0.6,53,94,,94,PM10
11-Jan,Royapuram,3,14,0.5,44,70,,74,PM2.5
11-Jan,Manali,18,3,0.7,47,85,Satisfactory,85,PM10
12-Jan,Kodungaiyur,47,14,0.6,28,122,,114,PM10
12-Jan,Koyambedu,10,19,0.4,63,125,Moderate,117,PM10
12-Jan,Perungudi,3,9,0.5,66,106,Satisfactory,94,PM10
12-Jan,Royapuram,2,14,0.5,55,72,Satisfactory,91,PM2.5
12-Jan,Manali,20,18,0.9,63,88,,88,PM10
13-Jan,Kodungaiyur,14,13,0.6,31,135,,123,PM10
13-Jan,Koyambedu,10,19,0.4,74,143,Moderate,147,PM2.5
13-Jan,Perungudi,3,8,0.6,85,139,Moderate,182,PM2.5
13-Jan,Royapuram,3,16,0.7,70,95,Moderate,135,PM2.5
13-Jan,Manali,22,3,0.9,74,80,,149,PM10
14-Jan,Kodungaiyur,14,18,0.7,84,225,Moderate,183,PM10
14-Jan,Koyambedu,10,24,-,89,242,Moderate,197,PM2.5
14-Jan,Perungudi,2,12,0.8,85,241,Moderate,194,PM2.5
14-Jan,Royapuram,3,19,0.9,75,217,Moderate,178,PM10
14-Jan,Manali,12,7,0.9,89,241,Moderate,197,PM2.5
15-Jan,Kodungaiyur,11,12,0.6,33,137,Moderate,125,PM10
15-Jan,Koyambedu,3,15,-,74,136,Moderate,148,PM2.5
15-Jan,Perungudi,3,10,0.6,84,163,Moderate,180,PM2.5
15-Jan,Royapuram,2,15,0.8,75,102,Moderate,150,PM2.5
15-Jan,Manali,10,5,0.8,84,193,Moderate,180,PM2.5
16-Jan,Kodungaiyur,12,11,0.6,23,97,Satisfactory,97,PM10
16-Jan,Koyambedu,4,21,-,54,106,Moderate,104,PM10
16-Jan,Perungudi,2,9,0.5,63,104,Moderate,112,PM2.5
16-Jan,Royapuram,2,18,0.5,34,54,Satisfactory,57,PM2.5
16-Jan,Manali,11,4,0.6,73,109,Moderate,143,PM2.5
17-Jan,Kodungaiyur,8,11,0.6,12,58,Satisfactory,58,PM10
17-Jan,Koyambedu,4,15,-,26,57,Satisfactory,57,PM10
17-Jan,Perungudi,3,8,0.4,29,73,Satisfactory,75,PM2.5
17-Jan,Royapuram,3,14,0.5,21,33,Good,35,PM2.5
17-Jan,Manali,13,7,0.8,42,55,Satisfactory,70,PM2.5
18-Jan,Kodungaiyur,4,13,0.6,16,73,Satisfactory,73,PM10
18-Jan,Koyambedu,10,22,-,34,81,Satisfactory,81,PM10
18-Jan,Perungudi,3,8,0.6,30,80,Satisfactory,80,PM10
18-Jan,Royapuram,2,17,0.5,28,45,Good,47,PM2.5
18-Jan,Manali,10,5,0.9,67,85,Moderate,123,PM2.5
19-Jan,Kodungaiyur,3,11,0.5,17,74,Satisfactory,74,PM10
19-Jan,Koyambedu,7,18,-,30,62,Satisfactory,62,PM10
19-Jan,Perungudi,3,8,0.6,31,78,Satisfactory,78,PM10
19-Jan,Royapuram,2,17,0.5,33,47,Satisfactory,55,PM2.5
19-Jan,Manali,9,6,0.9,79,95,Moderate,163,PM2.5
20-Jan,Kodungaiyur,3,11,0.6,18,79,Satisfactory,79,PM10
20-Jan,Koyambedu,9,20,-,38,81,Satisfactory,81,PM10
20-Jan,Perungudi,3,9,0.4,36,75,Satisfactory,75,PM10
20-Jan,Royapuram,2,17,0.5,32,51,Satisfactory,53,PM2.5
20-Jan,Manali,11,5,0.9,69,87,Moderate,130,PM2.5
21-Jan,Kodungaiyur,3,11,0.6,17,72,Satisfactory,72,PM10
21-Jan,Koyambedu,5,19,-,31,67,Satisfactory,67,PM10
21-Jan,Perungudi,3,9,0.5,32,85,Satisfactory,85,PM10
21-Jan,Royapuram,2,17,0.5,28,50,Satisfactory,50,PM10
21-Jan,Manali,9,4,0.9,55,77,Satisfactory,92,PM2.5
22-Jan,Kodungaiyur,3,11,0.6,16,71,Satisfactory,71,PM10
22-Jan,Koyambedu,5,15,-,26,56,Satisfactory,56,PM10
22-Jan,Perungudi,3,9,0.7,30,67,Satisfactory,67,PM10
22-Jan,Royapuram,2,15,0.5,24,35,Good,39,PM2.5
22-Jan,Manali,10,6,0.9,49,59,Satisfactory,82,PM2.5
23-Jan,Kodungaiyur,2,10,0.6,16,70,Satisfactory,70,PM10
23-Jan,Koyambedu,3,15,-,32,62,Satisfactory,62,PM10
23-Jan,Perungudi,2,9,0.5,32,69,Satisfactory,69,PM10
23-Jan,Royapuram,2,15,0.4,26,37,Good,44,PM2.5
23-Jan,Manali,11,6,0.9,56,58,Satisfactory,93,PM2.5
24-Jan,Kodungaiyur,5,16,0.7,21,93,Satisfactory,93,PM10
24-Jan,Koyambedu,3,23,-,42,89,Satisfactory,89,PM10
24-Jan,Perungudi,3,9,0.5,52,125,Moderate,117,PM10
24-Jan,Royapuram,3,20,0.6,36,65,Satisfactory,65,PM10
24-Jan,Manali,,,,,N/A (Due to PC Issue),,,
25-Jan,Kodungaiyur,5,14,0.7,18,79,Satisfactory,79,PM10
25-Jan,Koyambedu,4,23,-,44,93,Satisfactory,93,PM10
25-Jan,Perungudi,3,9,0.7,55,137,Moderate,125,PM10
25-Jan,Royapuram,2,20,0.5,28,55,Satisfactory,55,PM10
25-Jan,Manali,12,7,0.9,59,70,Satisfactory,98,PM2.5
26-Jan,Kodungaiyur,6,12,0.6,20,87,Satisfactory,87,PM10
26-Jan,Koyambedu,5,18,-,38,80,Satisfactory,80,PM10
26-Jan,Perungudi,2,11,0.5,48,118,Moderate,112,PM10
26-Jan,Royapuram,3,17,0.6,37,66,Satisfactory,66,PM10
26-Jan,Manali,11,6,0.8,54,60,Satisfactory,90,PM2.5
27-Jan,Kodungaiyur,7,12,0.6,18,76,Satisfactory,76,PM10
27-Jan,Koyambedu,10,17,-,62,89,Moderate,107,PM2.5
27-Jan,Perungudi,3,11,0.6,34,73,Satisfactory,73,PM10
27-Jan,Royapuram,2,13,0.5,28,50,Satisfactory,50,PM10
27-Jan,Manali,13,8,0.8,44,56,Satisfactory,77,PM2.5
28-Jan,Kodungaiyur,5,7,0.6,15,61,Satisfactory,61,PM10
28-Jan,Koyambedu,4,12,-,36,60,Satisfactory,60,PM10
28-Jan,Perungudi,3,10,0.5,32,75,Satisfactory,75,PM10
28-Jan,Royapuram,2,21,0.5,29,50,Good,50,PM10
28-Jan,Manali,12,9,0.9,41,48,Satisfactory,68,PM2.5
29-Jan,Kodungaiyur,4,9,0.6,18,93,Satisfactory,93,PM10
29-Jan,Koyambedu,9,13,-,54,96,Satisfactory,96,PM10
29-Jan,Perungudi,2,9,0.7,50,93,Satisfactory,93,PM10
29-Jan,Royapuram,2,14,0.5,41,68,Satisfactory,68,PM10
29-Jan,Manali,10,4,0.9,62,86,Moderate,107,PM2.5
30-Jan,Kodungaiyur,10,14,0.6,26,129,Moderate,119,PM10
30-Jan,Koyambedu,19,20,-,52,108,Moderate,105,PM10
30-Jan,Perungudi,3,8,0.5,48,101,Moderate,101,PM10
30-Jan,Royapuram,2,17,0.6,53,99,Satisfactory,99,PM10
30-Jan,Manali,13,8,0.8,88,135,Moderate,193,PM2.5
31-Jan,Kodungaiyur,7,13,0.6,17,84,Satisfactory,84,PM10
31-Jan,Koyambedu,9,19,-,32,77,Satisfactory,77,PM10
31-Jan,Perungudi,3,8,0.6,33,83,Satisfactory,83,PM10
31-Jan,Royapuram,3,16,0.6,33,63,Satisfactory,63,PM10
31-Jan,Manali,11,6,0.9,78,94,Moderate,160,PM2.5
01-Feb,Kodungaiyur,4,10,0.5,14,59,,59,PM10
01-Feb,Koyambedu,5,15,0.5,25,60,,60,PM10
01-Feb,Perungudi,3,8,0.6,29,64,,64,PM10
01-Feb,Royapuram,3,18,0.5,17,34,,34,PM10
01-Feb,Manali,13,22,0.5,52,68,Satisfactory,87,PM2.5
02-Feb,Kodungaiyur,3,8,0.7,26,41,Good,41,PM10
02-Feb,Koyambedu,3,9,0.9,12,43,Good,43,PM10
02-Feb,Perungudi,2,8,0.7,13,35,Good,35,PM10
02-Feb,Royapuram,3,12,0.4,21,39,Good,39,PM10
02-Feb,Manali,27,16,0.9,35,57,Satisfactory,59,PM2.5
03-Feb,Kodungaiyur,4,8,0.6,13,49,Good,49,PM10
03-Feb,Koyambedu,3,10,0.6,17,52,Satisfactory,52,PM10
03-Feb,Perungudi,2,13,0.7,18,48,Good,48,PM10
03-Feb,Royapuram,2,12,0.4,12,24,Good,24,PM10
03-Feb,Manali,24,2,0.1,51,76,Satisfactory,76,PM10
04-Feb,Kodungaiyur,3,9,0.6,12,46,Good,46,PM10
04-Feb,Koyambedu,4,14,-,21,52,Satisfactory,52,PM10
04-Feb,Perungudi,2,9,0.5,19,60,Satisfactory,60,PM10
04-Feb,Royapuram,3,12,0.5,13,25,Good,25,PM10
04-Feb,Manali,11,6,0.9,46,84,Satisfactory,84,PM10
05-Feb,Kodungaiyur,4,9,0.6,13,57,Satisfactory,57,PM10
05-Feb,Koyambedu,5,14,-,23,54,Satisfactory,54,PM10
05-Feb,Perungudi,3,9,0.5,21,59,Satisfactory,59,PM10
05-Feb,Royapuram,3,13,0.4,19,42,Good,42,PM10
05-Feb,Manali,13,8,0.8,59,104,Moderate,103,PM10
06-Feb,Kodungaiyur,4,11,0.6,20,85,Satisfactory,85,PM10
06-Feb,Koyambedu,5,16,-,45,86,Satisfactory,86,PM10
06-Feb,Perungudi,3,9,0.5,50,99,Satisfactory,99,PM10
06-Feb,Royapuram,2,17,0.5,43,72,Satisfactory,72,PM10
06-Feb,Manali,12,-,0.9,70,108,Moderate,133,PM2.5
07-Feb,Kodungaiyur,5,14,0.7,26,113,Moderate,109,PM10
07-Feb,Koyambedu,15,20,-,59,103,Moderate,102,PM10
07-Feb,Perungudi,3,9,0.8,63,123,Moderate,115,PM10
07-Feb,Royapuram,3,17,0.6,57,92,Satisfactory,95,PM2.5
07-Feb,Manali,13,14,0.9,75,106,Moderate,150,PM2.5
08-Feb,Kodungaiyur,4,15,0.6,19,88,Satisfactory,88,PM10
08-Feb,Koyambedu,3,22,-,44,92,Satisfactory,92,PM10
08-Feb,Perungudi,2,9,0.5,49,128,Moderate,119,PM10
08-Feb,Royapuram,3,16,0.6,38,70,Satisfactory,70,PM10
08-Feb,Manali,13,9,0.8,55,87,Satisfactory,92,PM2.5
09-Feb,Kodungaiyur,5,13,0.6,20,83,Satisfactory,83,PM10
09-Feb,Koyambedu,9,16,-,32,76,Satisfactory,76,PM10
09-Feb,Perungudi,2,11,0.4,37,88,Satisfactory,88,PM10
09-Feb,Royapuram,3,14,0.5,28,61,Satisfactory,61,PM10
09-Feb,Manali,11,7,0.9,50,69,Satisfactory,83,PM2.5
11-Feb,Kodungaiyur,4,8,0.6,20,92,Satisfactory,92,PM10
11-Feb,Koyambedu,3,12,-,50,94,Satisfactory,94,PM10
11-Feb,Perungudi,2,11,0.4,53,105,Moderate,103,PM10
11-Feb,Royapuram,2,16,0.5,46,78,Satisfactory,78,PM10
11-Feb,Manali,14,22,0.9,89,101,Moderate,197,PM2.5
12-Feb,Kodungaiyur,5,10,0.6,18,84,Satisfactory,84,PM10
12-Feb,Koyambedu,4,13,-,36,82,Satisfactory,82,PM10
12-Feb,Perungudi,3,9,0.4,32,76,Satisfactory,76,PM10
12-Feb,Royapuram,2,14,0.4,25,47,Good,47,PM10
12-Feb,Manali,12,24,0.9,60,96,Moderate,100,PM2.5
13-Feb,Kodungaiyur,5,11,0.6,18,81,Satisfactory,81,PM10
13-Feb,Koyambedu,6,17,-,25,73,Satisfactory,73,PM10
13-Feb,Perungudi,2,8,0.4,32,76,Satisfactory,76,PM10
13-Feb,Royapuram,3,16,0.6,29,68,Satisfactory,68,PM10
13-Feb,Manali,12,8,0.5,68,97,Moderate,127,PM2.5
14-Feb,Kodungaiyur,5,11,0.6,17,74,Satisfactory,74,PM10
14-Feb,Koyambedu,4,16,-,27,68,Satisfactory,68,PM10
14-Feb,Perungudi,2,8,0.4,25,69,Satisfactory,69,PM10
14-Feb,Royapuram,2,13,0.5,24,69,Satisfactory,69,PM10
14-Feb,Manali,13,7,0.7,56,90,Satisfactory,93,PM2.5
15-Feb,Kodungaiyur,5,11,0.6,23,93,Satisfactory,93,PM10
15-Feb,Koyambedu,4,18,-,48,99,Satisfactory,99,PM10
15-Feb,Perungudi,3,8,0.4,40,88,Satisfactory,88,PM10
15-Feb,Royapuram,3,19,0.5,34,74,Satisfactory,74,PM10
15-Feb,Manali,12,7,0,52,72,Satisfactory,87,PM2.5
16-Feb,Kodungaiyur,4,11,0.6,20,86,Satisfactory,86,PM10
16-Feb,Koyambedu,5,16,-,36,84,Satisfactory,84,PM10
16-Feb,Perungudi,2,8,0.4,37,80,Satisfactory,80,PM10
16-Feb,Royapuram,2,13,0.4,26,65,Satisfactory,65,PM10
16-Feb,Manali,11,8,0,60,80,Moderate,100,PM2.5
17-Feb,Kodungaiyur,4,10,0.6,18,76,Satisfactory,76,PM10
17-Feb,Koyambedu,6,16,-,33,79,Satisfactory,79,PM10
17-Feb,Perungudi,2,8,0.4,34,75,Satisfactory,75,PM10
17-Feb,Royapuram,2,13,0.5,31,66,Satisfactory,66,PM10
17-Feb,Manali,9,5,0,55,85,Satisfactory,92,PM2.5
18-Feb,Kodungaiyur,5,13,0.6,21,92,Satisfactory,92,PM10
18-Feb,Koyambedu,4,16,-,36,76,Satisfactory,76,PM10
18-Feb,Perungudi,2,8,0.4,48,90,Satisfactory,90,PM10
18-Feb,Royapuram,2,15,0.6,38,71,Satisfactory,71,PM10
18-Feb,Manali,10,7,0,42,76,Satisfactory,76,PM10
19-Feb,Kodungaiyur,4,10,0.6,19,78,Satisfactory,78,PM10
19-Feb,Koyambedu,5,16,-,43,80,Satisfactory,80,PM10
19-Feb,Perungudi,3,8,0.4,48,93,Satisfactory,93,PM10
19-Feb,Royapuram,3,16,0.6,38,64,Satisfactory,64,PM10
19-Feb,Manali,11,8,0,47,63,Satisfactory,78,PM2.5
20-Feb,Kodungaiyur,3,13,0.6,19,86,Satisfactory,86,PM10
20-Feb,Koyambedu,4,16,-,40,84,Satisfactory,84,PM10
20-Feb,Perungudi,2,9,0.4,42,93,Satisfactory,93,PM10
20-Feb,Royapuram,3,16,0.5,33,61,Satisfactory,61,PM10
20-Feb,Manali,12,9,0,41,74,Satisfactory,74,PM10
21-Feb,Kodungaiyur,4,16,0.6,21,88,Satisfactory,88,PM10
21-Feb,Koyambedu,3,19,-,42,96,Satisfactory,96,PM10
21-Feb,Perungudi,2,9,0.4,46,101,Moderate,101,PM10
21-Feb,Royapuram,1,19,0.5,37,79,Satisfactory,79,PM10
21-Feb,Manali,12,7,0,45,63,Satisfactory,75,PM2.5
22-Feb,Kodungaiyur,5,13,0.6,19,86,Satisfactory,86,PM10
22-Feb,Koyambedu,3,18,-,43,86,Satisfactory,86,PM10
22-Feb,Perungudi,3,11,0.4,41,83,Satisfactory,83,PM10
22-Feb,Royapuram,2,18,0.6,37,80,Satisfactory,80,PM10
22-Feb,Manali,13,8,0,65,76,Moderate,117,PM2.5
23-Feb,Kodungaiyur,4,12,6,19,74,Satisfactory,74,PM10
23-Feb,Koyambedu,3,15,-,34,71,Satisfactory,71,PM10
23-Feb,Perungudi,3,10,0.4,33,71,Satisfactory,71,PM10
23-Feb,Royapuram,3,20,0.5,30,67,Satisfactory,67,PM10
23-Feb,Manali,15,10,0,54,62,Satisfactory,90,PM2.5
24-Feb,Kodungaiyur,4,9,0.7,14,61,Satisfactory,61,PM10
24-Feb,Koyambedu,2,9,-,30,57,Satisfactory,57,PM10
24-Feb,Perungudi,2,10,0.4,30,59,Satisfactory,59,PM10
24-Feb,Royapuram,2,23,0.4,28,51,Satisfactory,51,PM10
24-Feb,Manali,11,7,0.7,51,61,Satisfactory,85,PM2.5
25-Feb,Kodungaiyur,4,9,0.6,15,57,Satisfactory,57,PM10
25-Feb,Koyambedu,2,8,-,23,48,Good,48,PM10
25-Feb,Perungudi,2,8,0.4,25,50,Good,50,PM10
25-Feb,Royapuram,2,23,0.4,22,35,Good,37,PM2.5
25-Feb,Manali,12,8,0.6,55,60,Satisfactory,92,PM10
26-Feb,Kodungaiyur,5,6,0.5,13,54,Satisfactory,54,PM10
26-Feb,Koyambedu,3,8,-,24,54,Satisfactory,54,PM10
26-Feb,Perungudi,2,8,0.4,24,60,Satisfactory,60,PM10
26-Feb,Royapuram,1,21,0.4,24,43,Good,43,PM2.5
26-Feb,Manali,11,6,0.5,62,82,Moderate,107,PM2.5
26-Feb,Kodungaiyur,4,7,0.5,16,61,Satisfactory,61,PM10
27-Feb,Koyambedu,2,11,-,26,61,Satisfactory,61,PM10
27-Feb,Perungudi,3,8,0.3,29,66,Satisfactory,66,PM10
27-Feb,Royapuram,2,18,0.4,25,55,Satisfactory,55,PM10
27-Feb,Manali,11,9,0.6,55,66,Satisfactory,92,PM10
28-Feb,Kodungaiyur,4,11,0.7,18,80,Satisfactory,80,PM10
28-Feb,Koyambedu,6,14,-,29,74,Satisfactory,74,PM10
28-Feb,Perungudi,3,7,0.4,39,72,Satisfactory,72,PM10
28-Feb,Royapuram,2,14,0.5,29,71,Satisfactory,71,PM10
28-Feb,Manali,11,6,0.8,44,72,Satisfactory,73,PM2.5
29 FEBRUARY,Kodungaiyur,5,11,0.6,21,89,Satisfactory,89,PM10
29 FEBRUARY,Koyambedu,4,16,-,33,84,Satisfactory,84,PM10
29 FEBRUARY,Perungudi,3,7,0.4,39,85,Satisfactory,85,PM10
29 FEBRUARY,Royapuram,2,16,0.5,38,103,Moderate,102,PM10
29 FEBRUARY,Manali,12,8,0.9,47,66,Satisfactory,66,PM10
01-Mar,Kodungaiyur,4,11,0.6,20,87,Satisfactory,87,PM10
01-Mar,Koyambedu,3,14,-,38,87,Satisfactory,87,PM10
01-Mar,Perungudi,3,9,0.5,41,88,Satisfactory,88,PM10
01-Mar,Royapuram,2,18,0.6,39,69,Satisfactory,69,PM10
01-Mar,Manali,24,6,0.8,58,78,Satisfactory,96,PM2.5
02-Mar,Kodungaiyur,6,12,0.6,25,98,Satisfactory,98,PM10
02-Mar,Koyambedu,4,18,-,48,102,Moderate,102,PM10
02-Mar,Perungudi,2,10,0.4,61,136,Moderate,124,PM10
02-Mar,Royapuram,4,20,0.6,42,74,Satisfactory,74,PM10
02-Mar,Manali,15,9,0.8,65,84,Moderate,117,PM2.5
03-Mar,Kodungaiyur,6,9,0.6,18,74,Satisfactory,74,PM10
03-Mar,Koyambedu,4,10,-,31,98,Satisfactory,98,PM10
03-Mar,Perungudi,3,11,0.4,41,73,Satisfactory,73,PM10
03-Mar,Royapuram,2,15,0.5,35,54,Satisfactory,58,PM2.5
03-Mar,Manali,14,9,0.6,54,74,Satisfactory,90,PM2.5
04-Mar,Kodungaiyur,5,11,0.5,19,84,Satisfactory,84,PM10
04-Mar,Koyambedu,4,16,-,42,85,Satisfactory,85,PM10
04-Mar,Perungudi,3,10,0.4,49,105,Moderate,103,PM10
04-Mar,Royapuram,2,17,0.4,38,59,Satisfactory,63,PM2.5
04-Mar,Manali,13,8,0.6,45,70,Satisfactory,70,PM10
05-Mar,Kodungaiyur,5,12,0.6,17,81,Satisfactory,81,PM10
05-Mar,Koyambedu,3,16,-,35,80,Satisfactory,80,PM10
05-Mar,Perungudi,3,9,0.4,42,102,Moderate,101,PM10
05-Mar,Royapuram,2,15,0.5,35,68,Satisfactory,68,PM10
05-Mar,Manali,14,10,0.5,51,76,Satisfactory,85,PM2.5
06-Mar,Kodungaiyur,5,13,0.7,19,93,Satisfactory,93,PM10
06-Mar,Koyambedu,4,16,-,37,78,Satisfactory,78,PM10
06-Mar,Perungudi,3,9,0.4,54,155,Moderate,137,PM10
06-Mar,Royapuram,2,16,0.6,39,78,Satisfactory,78,PM10
06-Mar,Manali,15,9,0.6,51,75,Satisfactory,85,PM2.5
07-Mar,Kodungaiyur,4,14,0.7,15,81,Satisfactory,81,PM10
07-Mar,Koyambedu,6,16,-,25,68,Satisfactory,68,PM10
07-Mar,Perungudi,3,10,0.4,33,74,Satisfactory,74,PM10
07-Mar,Royapuram,2,16,0.5,25,53,Satisfactory,53,PM10
07-Mar,Manali,15,10,0.6,42,71,Satisfactory,71,PM10
08-Mar,Kodungaiyur,3,12,0.7,16,86,Satisfactory,86,PM10
08-Mar,Koyambedu,3,13,-,34,80,Satisfactory,80,PM10
08-Mar,Perungudi,3,10,0.4,38,81,Satisfactory,81,PM10
08-Mar,Royapuram,3,15,0.5,33,62,Satisfactory,62,PM10
08-Mar,Manali,15,10,0.6,44,62,Satisfactory,73,PM2.5
09-Mar,Kodungaiyur,3,11,0.7,16,89,Satisfactory,89,PM10
09-Mar,Koyambedu,3,12,-,38,77,Satisfactory,77,PM10
09-Mar,Perungudi,3,10,0.4,44,91,Satisfactory,91,PM10
09-Mar,Royapuram,3,15,0.6,35,69,Satisfactory,69,PM10
09-Mar,Manali,15,12,0.5,34,70,Satisfactory,70,PM10
10-Mar,Kodungaiyur,5,9,0.6,14,63,Satisfactory,63,PM10
10-Mar,Koyambedu,4,10,-,28,63,Satisfactory,63,PM10
10-Mar,Perungudi,3,9,0.4,30,64,Satisfactory,64,PM10
10-Mar,Royapuram,2,11,0.4,25,47,Good,47,PM10
10-Mar,Manali,13,12,0.5,48,67,Satisfactory,80,PM2.5
11-Mar,Kodungaiyur,4,7,7,14,70,Satisfactory,70,PM10
11-Mar,Koyambedu,2,8,-,38,75,Satisfactory,75,PM10
11-Mar,Perungudi,3,9,0.4,38,71,Satisfactory,71,PM10
11-Mar,Royapuram,2,10,0.4,31,49,Satisfactory,51,PM2.5
11-Mar,Manali,12,11,0.5,48,60,Satisfactory,80,PM10
12-Mar,Kodungaiyur,4,11,0.7,17,83,Satisfactory,83,PM10
12-Mar,Koyambedu,4,13,-,30,78,Satisfactory,78,PM10
12-Mar,Perungudi,3,8,0.4,30,77,Satisfactory,77,PM10
12-Mar,Royapuram,3,16,0.5,26,68,Satisfactory,68,PM10
12-Mar,Manali,12,13,0.6,57,71,Satisfactory,95,PM2.5
13-Mar,Kodungaiyur,5,14,0.7,18,82,Satisfactory,82,PM10
13-Mar,Koyambedu,3,15,-,34,84,Satisfactory,84,PM10
13-Mar,Perungudi,3,8,0.4,35,90,Satisfactory,90,PM10
13-Mar,Royapuram,2,17,0.6,29,83,Satisfactory,83,PM10
13-Mar,Manali,13,15,0.7,46,93,Satisfactory,93,PM10
14-Mar,Kodungaiyur,5,12,0.6,17,79,Satisfactory,79,PM10
14-Mar,Koyambedu,4,12,-,32,79,Satisfactory,79,PM10
14-Mar,Perungudi,3,8,0.4,37,79,Satisfactory,79,PM10
14-Mar,Royapuram,2,16,0.5,32,72,Satisfactory,72,PM10
14-Mar,Manali,12,14,0.7,46,95,Satisfactory,95,PM10
15-Mar,Kodungaiyur,3,10,0.6,15,68,Satisfactory,68,PM10
15-Mar,Koyambedu,3,11,-,23,63,Satisfactory,63,PM10
15-Mar,Perungudi,3,8,0.4,31,66,Satisfactory,66,PM10
15-Mar,Royapuram,2,17,5,23,67,Satisfactory,67,PM10
15-Mar,Manali,17,15,0.8,36,60,Satisfactory,60,PM10
16-Mar,Kodungaiyur,3,9,0.6,11,56,Satisfactory,56,PM10
16-Mar,Koyambedu,2,11,-,20,58,Satisfactory,58,PM10
16-Mar,Perungudi,3,8,0.4,22,57,Satisfactory,57,PM10
16-Mar,Royapuram,2,16,0.5,19,52,Satisfactory,52,PM10
16-Mar,Manali,13,13,0.8,39,56,Satisfactory,65,PM2.5
17-Mar,Kodungaiyur,4,8,0.6,9,39,Good,39,PM10
17-Mar,Koyambedu,3,7,-,10,30,Good,30,PM10
17-Mar,Perungudi,4,7,0.4,10,32,Good,32,PM10
17-Mar,Royapuram,2,15,0.4,9,18,Good,20,CO
17-Mar,Manali,12,12,0.7,39,50,Satisfactory,65,PM2.5
18-Mar,Kodungaiyur,4,8,0.6,7,36,Good,36,PM10
18-Mar,Koyambedu,3,9,-,10,32,Good,32,PM10
